plot,year,scan_date,USDA_symbol,all,plant,leaf,count,total_area,petiole,file,notes
non_plot,2017,2017-04-06,BRHO2,FALSE,8,2,2,1.247,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,BRHO2,FALSE,8,3,1,2.954,FALSE,data-raw/all-scans/scans-06042017/brho_leaf_area.xls,
non_plot,2017,2017-04-06,ERMO7,TRUE,1,NA,42,37.11,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,1,1,3,8.431,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,1,2,3,4.174,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,1,3,4,4.788,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,2,NA,67,80.162,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,2,1,7,10.713,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,2,2,6,5.333,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,2,3,5,5.351,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,3,NA,11,3.961,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,3,1,7,4.788,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,3,2,4,6.025,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,3,3,7,3.079,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,4,NA,66,41.492,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,4,1,6,7.232,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,4,2,4,9.333,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,4,3,8,9.276,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,5,NA,9,4.148,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,5,1,10,5.844,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,5,2,8,2.611,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,5,3,6,3.415,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,6,NA,40,36.39,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,6,1,5,9.686,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,6,2,7,5.463,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,6,3,4,3.198,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,TRUE,7,NA,20,16.137,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
non_plot,2017,2017-04-06,ERMO7,FALSE,7,1,9,6.362,FALSE,data-raw/all-scans/scans-06042017/ermo_leaf_area_no_petiole.xls,no_petiole
