slice,alias,plant_number,leaf_number,all,count,total_area,scan_date,notes,USDA_symbol,petiole,plot
brho-p3-l1,BRHO,3,1,FALSE,5,2.842,2017-04-06,,BRHO2,FALSE,non_plot
brho-p3-l2,BRHO,3,2,FALSE,4,3.021,2017-04-06,,BRHO2,FALSE,non_plot
brho-p3-l3,BRHO,3,3,FALSE,4,3.249,2017-04-06,,BRHO2,FALSE,non_plot
brho-p4-all,BRHO,4,NA,TRUE,73,69.838,2017-04-06,,BRHO2,FALSE,non_plot
brho-p4-l1,BRHO,4,1,FALSE,4,3.959,2017-04-06,,BRHO2,FALSE,non_plot
brho-p4-l2,BRHO,4,2,FALSE,1,3.417,2017-04-06,,BRHO2,FALSE,non_plot
brho-p4-l3,BRHO,4,3,FALSE,4,3.949,2017-04-06,,BRHO2,FALSE,non_plot
brho-p5-all,BRHO,5,NA,TRUE,69,56.12,2017-04-06,,BRHO2,FALSE,non_plot
brho-p5-l1,BRHO,5,1,FALSE,2,4.761,2017-04-06,,BRHO2,FALSE,non_plot
brho-p5-l2,BRHO,5,2,FALSE,3,2.755,2017-04-06,,BRHO2,FALSE,non_plot
brho-p5-l3,BRHO,5,3,FALSE,4,1.823,2017-04-06,,BRHO2,FALSE,non_plot
brho-p6-all-1,BRHO,6,NA,TRUE,65,75.609,2017-04-06,,BRHO2,FALSE,non_plot
brho-p6-all-2,BRHO,6,NA,TRUE,21,28.767,2017-04-06,,BRHO2,FALSE,non_plot
brho-p6-l1,BRHO,6,1,FALSE,3,2.365,2017-04-06,,BRHO2,FALSE,non_plot
brho-p6-l2,BRHO,6,2,FALSE,3,4.122,2017-04-06,,BRHO2,FALSE,non_plot
brho-p6-l3,BRHO,6,3,FALSE,4,3.611,2017-04-06,,BRHO2,FALSE,non_plot
brho-p7-all,BRHO,7,NA,TRUE,67,54.687,2017-04-06,,BRHO2,FALSE,non_plot
brho-p7-l1,BRHO,7,1,FALSE,4,6.315,2017-04-06,,BRHO2,FALSE,non_plot
brho-p7-l2,BRHO,7,2,FALSE,2,2.15,2017-04-06,,BRHO2,FALSE,non_plot
brho-p7-l3,BRHO,7,3,FALSE,1,2.288,2017-04-06,,BRHO2,FALSE,non_plot
brho-p8-all,BRHO,8,NA,TRUE,13,18.608,2017-04-06,,BRHO2,FALSE,non_plot
brho-p8-l1,BRHO,8,1,FALSE,3,1.702,2017-04-06,,BRHO2,FALSE,non_plot
brho-p8-l2,BRHO,8,2,FALSE,2,1.247,2017-04-06,,BRHO2,FALSE,non_plot
brho-p8-l3,BRHO,8,3,FALSE,1,2.954,2017-04-06,,BRHO2,FALSE,non_plot
ermo-p1-all,ERMO,1,NA,TRUE,21,41.038,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p1-l1,ERMO,1,1,FALSE,1,9.427,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p1-l2,ERMO,1,2,FALSE,1,4.393,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p1-l3,ERMO,1,3,FALSE,1,5.59,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p2-all,ERMO,2,NA,TRUE,28,88.924,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p2-l1,ERMO,2,1,FALSE,2,12.428,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p2-l2,ERMO,2,2,FALSE,1,6.17,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p2-l3,ERMO,2,3,FALSE,1,6.253,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p3-all,ERMO,3,NA,TRUE,8,4.176,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p3-l1,ERMO,3,1,FALSE,5,5.483,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p3-l2,ERMO,3,2,FALSE,3,6.899,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p3-l3,ERMO,3,3,FALSE,6,3.778,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p4-all,ERMO,4,NA,TRUE,43,48.082,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p4-l1,ERMO,4,1,FALSE,3,8.193,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
ermo-p4-l2,ERMO,4,2,FALSE,1,10.486,2017-04-06,with_petiole,ERMO7,TRUE,non_plot
