sequence,USDA_symbol,plot,plant_number,height,width,length,extra
2706,CLPU2,762,3,49,55,40,49 55 40 using fourth of plant NA
2709,CLPU2,762,4,19,25,10,19 25 10 using half of plant NA
2715,HECO7,comp,1,13,20,21,13 20 21 NA NA
2718,HECO7,comp,2,27,22,26,27 22 26 NA NA
2721,HECO7,comp,3,30,30,22,30 30 22 using half of plant NA
2724,HECO7,comp,4,26,21,17,26 21 17 NA NA
2727,HECO7,comp,5,10,21,18,10 21 18 NA NA
2730,NAAT,743,1,6,11,6,6 11 6 NA NA
2733,NAAT,743,2,4,5,3,4 5 3 NA NA
2736,NAAT,743,3,9,10,6,9 10 6 NA NA
2739,NAAT,743,4,8,9,9,8 9 9 using half of plant NA
2742,NAAT,743,5,10,13,12,10 13 12 using half of plant NA
2745,HECO7,745,1,22,12,10,22 12 10 NA NA
2748,HECO7,745,2,7,7,6,7 7 6 NA NA
2751,HECO7,745,3,16,10,9,16 10 9 NA NA
2754,HECO7,745,4,10,9,7,10 9 7 NA NA
2757,HECO7,745,5,19,7,6,19 7 6 NA NA
2760,NAAT,745,1,6,8,5,6 8 5 NA NA
2763,NAAT,745,2,5,7,5,5 7 5 NA NA
2766,NAAT,745,3,7,9,6,7 9 6 using half of plant NA
2769,NAAT,745,4,2,4,4,2 4 4 NA NA
2772,NAAT,745,5,5,7,6,5 7 6 NA NA
2775,LOAM5,745,1,5,4,2,5 4 2 NA NA
2778,LOAM5,743,1,5,1,1,5 1 1 NA NA
2781,HECO7,743,1,19,22,22,19 22 22 NA NA
2790,HECO7,743,4,13,19,15,13 19 15 NA NA
2793,HECO7,743,5,12,15,14,12 15 14 NA NA
2796,LOAM5,758,1,37,38,38,37 38 38 NA NA
2799,LOAM5,758,2,26,7,6,26 7 6 NA NA
2802,LOAM5,758,3,20,8,6,20 8 6 NA NA
2805,LOAM5,758,4,29,17,9,29 17 9 using half of plant NA
2808,LOAM5,758,5,19,20,5,19 20 5 NA NA
2811,NAAT,759,1,10,4,4,10 4 4 NA NA
2814,NAAT,759,2,12,4,4,12 4 4 NA NA
2817,HECO7,759,1,21,3,2,21 3 2 NA NA
2820,HECO7,759,2,21,18,17,21 18 17 NA NA
2823,HECO7,759,3,10,15,2,10 15 2 NA NA
2826,CLBO,759,1,35,12,6,35 12 6 NA NA
2829,CLBO,759,2,29,4,2,29 4 2 NA NA
2832,CLBO,759,3,51,18,3,51 18 3 NA NA
2835,CLBO,759,5,21,7,2,21 7 2 NA NA
2838,LOAM5,759,1,24,8,6,24 8 6 NA NA
