species,height
Bromus diandrus,54
Bromus diandrus,44
Bromus diandrus,29
Bromus diandrus,44
Bromus diandrus,51
Bromus diandrus,44
Bromus diandrus,48
Bromus diandrus,46
Bromus diandrus,47
Bromus diandrus,43
Bromus diandrus,34
Bromus diandrus,45
Bromus diandrus,32
Bromus diandrus,44
Bromus diandrus,36
Bromus diandrus,45
Bromus diandrus,38
Bromus diandrus,43
Bromus diandrus,48
Bromus diandrus,36
Bromus diandrus,49
Bromus diandrus,51
Bromus diandrus,48
Bromus diandrus,47
Bromus diandrus,63
Bromus diandrus,47
Bromus diandrus,46
Bromus diandrus,48
Bromus diandrus,46
Bromus diandrus,51
Bromus diandrus,40
Bromus diandrus,37
Bromus diandrus,45
Stipa pulchra,111
Stipa pulchra,107
Stipa pulchra,119
Stipa pulchra,125
Stipa pulchra,99
Stipa pulchra,94
Stipa pulchra,92
Stipa pulchra,89
Stipa pulchra,89
Stipa pulchra,104
Stipa pulchra,76
Stipa pulchra,89
Stipa pulchra,99
Stipa pulchra,95
Stipa pulchra,101
Stipa pulchra,90
Stipa pulchra,89
Stipa pulchra,92
Stipa pulchra,87
Stipa pulchra,106
Stipa pulchra,98
Stipa pulchra,81
Stipa pulchra,69
Stipa pulchra,83
Stipa pulchra,95
Stipa pulchra,93
Stipa pulchra,98
Stipa pulchra,91
Stipa pulchra,89
Stipa pulchra,86
Stipa pulchra,141
Stipa pulchra,107
Stipa pulchra,107
Stipa pulchra,103
Stipa pulchra,92
Stipa pulchra,97
Stipa pulchra,97
Stipa pulchra,119
Stipa pulchra,88
Stipa pulchra,92
Lolium perenne,85
Lolium perenne,69
Lolium perenne,59
Lolium perenne,61
Lolium perenne,57
Lolium perenne,70
Lolium perenne,62
Lolium perenne,66
Lolium perenne,65
Lolium perenne,67
Lolium perenne,73
Lolium perenne,71
Lolium perenne,42
Lolium perenne,50
Lolium perenne,49
Lolium perenne,46
Lolium perenne,60
Lolium perenne,65
Lolium perenne,79
Lolium perenne,76
Lolium perenne,71
Lolium perenne,66
Lolium perenne,72
Lolium perenne,72
Lolium perenne,74
Lolium perenne,87
Lolium perenne,74
Lolium perenne,80
Lolium perenne,60
Lolium perenne,80
Lolium perenne,64
Lolium perenne,75
Lolium perenne,65
Lolium perenne,75
Lolium perenne,70
Lolium perenne,68
Lolium perenne,70
Lolium perenne,55
Lolium perenne,64
Lolium perenne,68
Bromus hordeaceus,58
Bromus hordeaceus,48
Bromus hordeaceus,47
Bromus hordeaceus,44
Bromus hordeaceus,44
Bromus hordeaceus,27
Bromus hordeaceus,40
Bromus hordeaceus,35
Bromus hordeaceus,42
Bromus hordeaceus,46
