Name,Count,Total Area,Average Size,%Area,Mean,
761-homu-p2-l3,1,1.412,1.412,1.066,254.99,
761-homu-p3-l1,2,1.654,0.827,1.249,254.986,
761-homu-p3-l2,1,1.36,1.36,1.026,254.909,
761-homu-p3-l3,1,1.654,1.654,1.248,254.837,
761-homu-p4-l1,2,2.283,1.142,2.017,254.992,
761-homu-p4-l2,2,1.836,0.918,1.622,254.983,
761-homu-p4-l3,2,1.837,0.919,1.623,254.961,
761-homu-p5-l1,2,1.424,0.712,1.257,254.922,
761-homu-p5-l2,2,1.369,0.685,1.209,254.937,
761-homu-p5-l3,2,1.329,0.664,1.174,254.895,
761-vuma-p1-l1,3,0.688,0.229,0.546,254.994,
761-vuma-p1-l2,1,0.168,0.168,0.133,254.918,
761-vuma-p1-l3,2,0.381,0.191,0.303,254.954,
761-vuma-p2-l1,3,1.589,0.53,1.262,254.981,
761-vuma-p2-l2,3,0.738,0.246,0.586,254.901,
761-vuma-p2-l3,1,0.742,0.742,0.589,254.778,
761-vuma-p3-l1,1,0.679,0.679,0.539,254.825,
761-vuma-p3-l2,1,0.929,0.929,0.738,254.7,
761-vuma-p3-l3,1,0.381,0.381,0.302,254.94,
761-vuma-p4-l1,4,0.864,0.216,0.482,254.957,
761-vuma-p4-l2,1,0.456,0.456,0.254,254.509,
761-vuma-p4-l3,1,0.289,0.289,0.161,254.905,
761-vuma-p5-l1,1,0.248,0.248,0.138,255,
761-vuma-p5-l2,1,0.117,0.117,0.065,255,
761-vuma-p5-l3,1,0.199,0.199,0.111,254.219,
comp-homu-p1-l1,1,0.871,0.871,0.782,255,
comp-homu-p1-l2,2,0.914,0.457,0.821,254.994,
comp-homu-p1-l3,1,0.83,0.83,0.745,254.989,
comp-homu-p2-l1,3,1.981,0.66,1.778,254.998,
comp-homu-p2-l2,5,2.921,0.584,2.622,254.996,
comp-homu-p2-l3,5,1.822,0.364,1.635,255,
comp-homu-p3-l1,2,1.361,0.681,1.222,255,
comp-homu-p3-l2,3,2.285,0.762,2.051,254.976,
comp-homu-p3-l3,4,1.854,0.464,1.664,254.986,
comp-homu-p4-l1,4,2.012,0.503,1.268,254.925,
comp-homu-p4-l2,3,1.871,0.624,1.179,254.903,
comp-homu-p4-l3,3,2.513,0.838,1.584,254.989,
comp-homu-p5-l1,3,1.437,0.479,0.906,254.959,
comp-homu-p5-l2,2,1.031,0.515,0.65,254.994,
comp-homu-p5-l3,1,1.014,1.014,0.639,254.995,
comp-vuma-p1-l1,1,0.373,0.373,0.223,255,
comp-vuma-p1-l2,1,0.279,0.279,0.167,255,
comp-vuma-p1-l3,1,0.355,0.355,0.212,254.936,
comp-vuma-p2-l1,2,0.919,0.459,0.549,254.987,
comp-vuma-p2-l2,1,0.476,0.476,0.284,254.952,
comp-vuma-p2-l3,1,0.769,0.769,0.459,254.923,
comp-vuma-p3-l1,1,0.733,0.733,0.438,254.813,
comp-vuma-p3-l2,2,0.646,0.323,0.386,255,
comp-vuma-p3-l3,3,0.722,0.241,0.431,254.821,
comp-vuma-p4-l1,2,0.662,0.331,0.31,255,
comp-vuma-p4-l2,2,0.534,0.267,0.25,254.324,
comp-vuma-p4-l3,1,0.47,0.47,0.22,255,
comp-vuma-p5-l1,2,0.633,0.317,0.297,254.586,
comp-vuma-p5-l2,2,0.822,0.411,0.385,254.96,
comp-vuma-p5-l3,1,0.198,0.198,0.093,254.931,
